gml_id,namespace,localId,label,heatConten,emissionHe,diurnalVar,value,q,x,y
ES.127,NL.IMAER,ES.127,NOX (8572),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,14.1975072,0,0)",14.197507,166662.000,493649.000
ES.128,NL.IMAER,ES.128,NOX (8573),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,3.3302016,0,0)",3.330202,166771.000,493524.000
ES.129,NL.IMAER,ES.129,NOX (8574),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,16.7266944,0,0)",16.726694,166896.000,493381.000
ES.130,NL.IMAER,ES.130,NOX (8575),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.7994376,0,0)",0.799438,167005.000,493256.000
ES.131,NL.IMAER,ES.131,NOX (8576),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,17.5277088,0,0)",17.527709,167119.000,493125.000
ES.132,NL.IMAER,ES.132,NOX (8577),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.72880352,0,0)",1.728804,167239.000,492988.000
ES.133,NL.IMAER,ES.133,NOX (8578),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,15.7963824,0,0)",15.796382,167348.000,492863.000
ES.134,NL.IMAER,ES.134,NOX (8579),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,4.25736,0,0)",4.257360,167473.000,492720.000
ES.135,NL.IMAER,ES.135,NOX (8580),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,13.2671952,0,0)",13.267195,167583.000,492595.000
ES.136,NL.IMAER,ES.136,NOX (8581),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.88836912,0,0)",0.888369,167625.000,496938.000
ES.137,NL.IMAER,ES.137,NOX (8582),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.36014768,0,0)",1.360148,167660.000,499833.000
ES.138,NL.IMAER,ES.138,NOX (8583),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,6.7865472,0,0)",6.786547,167708.000,492452.000
ES.139,NL.IMAER,ES.139,NOX (8584),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.68937696,0,0)",0.689377,167796.000,499958.000
ES.140,NL.IMAER,ES.140,NOX (8585),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.738008,0,0)",10.738008,167817.000,492327.000
ES.141,NL.IMAER,ES.141,NOX (8586),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.88836912,0,0)",0.888369,167875.000,496933.000
ES.142,NL.IMAER,ES.142,NOX (8587),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.19237616,0,0)",1.192376,167921.000,500073.000
